Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,6,66,27.52,-22,0.34,0.06,23,,66,22.8641,37.1319,226.9,4.6024,0.036,0.29,0,0,0.01
2010,6,91,27.52,-22,0.29,0.09,30,,92,20.3333,36.8778,229.1,4.61,0.071,0.39,0,0,0.01
2010,6,91,27.52,-22,0.29,0.09,30,,92,20.3333,36.8778,229.1,4.61,0.071,0.39,0,0,0.05
2010,6,116,27.52,-22,0.23,0.08,30,,117,19.1374,36.7416,219.2,4.614,0.134,0.39,0,0.06,0.01
2010,6,116,27.52,-22,0.23,0.08,30,,117,19.1374,36.7416,219.2,4.614,0.134,0.49,0,0.06,0.01
2010,6,135,27.52,-22,0.23,0.1,30,,136,18.4804,36.6429,213.1,4.6272,0.082,0.68,0.53,0.03,0.03
2010,6,135,27.52,-22,0.23,0.1,30,,136,18.4804,36.6429,213.1,4.6272,0.082,0.68,0.52,0.03,0.03
2010,6,186,27.52,-22,0.26,0.14,,29,187,17.739,36.5591,198.5,4.6457,0.01,1.17,3.67,0.01,0.21
2010,6,186,27.52,-22,0.26,0.14,,29,187,17.739,36.5591,198.5,4.6457,0.01,1.07,3.64,0.01,0.22
2010,6,302,27.52,-22,0.41,0.19,49,,304,15.5145,36.1537,197.2,4.6508,0.006,2.34,7.22,0,0.43
2010,6,302,27.52,-22,0.41,0.19,49,,304,15.5145,36.1537,197.2,4.6508,0.006,2.34,7.19,0,0.43
2010,6,401,27.52,-22,0.59,0.2,58,,404,13.7892,35.8807,193.9,4.6557,0,3.61,10.22,0,0.62
2010,6,401,27.52,-22,0.59,0.2,58,,404,13.7892,35.8807,193.9,4.6557,0,3.61,10.21,0,0.62
2010,6,602,27.52,-22,0.65,0.37,49,,607,11.524,35.5895,162.3,4.6607,0.003,8,18.15,0,1.12
2010,6,602,27.52,-22,0.65,0.37,49,,607,11.524,35.5895,162.3,4.6607,0.003,7.9,18.12,0,1.13
2010,6,801,27.52,-22,0.7,0.39,37,,808,9.5606,35.4195,150.7,4.6665,0.004,13.27,22.93,0,1.47
2010,6,801,27.52,-22,0.7,0.39,37,,808,9.5606,35.4195,150.7,4.6665,0.004,13.17,22.85,0,1.46
2010,6,1003,27.52,-22,0.71,0.35,,,1013,8.1803,35.3717,160.1,4.6692,0.004,15.51,22.84,0,1.5
2010,6,1003,27.52,-22,0.71,0.35,,,1013,8.1803,35.3717,160.1,4.6692,0.004,15.51,22.85,0,1.5
2010,6,1202,27.52,-22,0.66,0.32,51,,1214,7.7406,35.4628,176.5,4.6716,0.004,15.32,20.99,0,1.39
2010,6,1202,27.52,-22,0.66,0.32,51,,1214,7.7406,35.4628,176.5,4.6716,0.004,15.41,20.95,0,1.39
2010,7,35,24,-22,0.47,0.05,20,,35,25.5905,36.7807,207.55,4.5981,0.0435,0.58,0,0,0.09
2010,7,35,24,-22,0.47,0.05,20,,35,25.5905,36.7807,207.55,4.5981,0.0435,0.49,0,0,0.09
2010,7,46,24,-22,0.3,0.07,22,,46,24.9641,37.0337,217,4.5962,0.062,0.49,0,0,0.06
2010,7,46,24,-22,0.3,0.07,22,,46,24.9641,37.0337,217,4.5962,0.062,0.58,0,0,0.06
2010,7,71,24,-22,0.26,0.07,23,,71,22.21075,36.8736,200.55,4.58865,0.216,0.78,0.19,0.05,0.1
2010,7,71,24,-22,0.26,0.07,23,,71,22.21075,36.8736,200.55,4.58865,0.216,0.78,0.19,0.05,0.1
2010,7,151,24,-22,0.41,0.18,36,,152,17.2526,36.24815,104.8,4.6384,0.0095,4.78,15.37,0.02,0.96
2010,7,151,24,-22,0.41,0.18,36,,152,17.2526,36.24815,104.8,4.6384,0.0095,4.68,15.32,0.01,0.96
2010,7,201,24,-22,0.44,0.21,42,,202,16.46075,36.218,118.4,4.6406,0.006,5.07,15.15,0.01,0.93
2010,7,201,24,-22,0.44,0.21,42,,202,16.46075,36.218,118.4,4.6406,0.006,4.97,15.15,0.01,0.94
2010,7,351,24,-22,0.55,0.25,48,,354,14.20805,35.91235,133.2,4.65095,0.0045,5.75,16.33,0.01,0.98
2010,7,351,24,-22,0.55,0.25,48,,354,14.20805,35.91235,133.2,4.65095,0.0045,5.66,16.31,0.01,0.98
2010,7,398,24,-22,0.46,0.28,,,401,13.67705,35.8521,146.9,4.6524,0.0045,5.85,15.95,0.01,0.97
