Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
9,19,19.50,0,14.05,1,34.81,1,252.21,1,,9.00,,9,,9,9,0.00
9,21,21.70,0,14.14,1,34.82,1,253.68,1,,9.00,,9,,9,9,0.00
9,22,21.80,0,14.14,1,34.82,1,253.74,1,0.38,1.00,0.52,1,0.06,1,1,2.41
9,34,34.70,0,13.81,1,34.82,1,249.94,1,,9.00,,9,,9,9,0.00
9,36,36.00,0,13.90,1,34.83,1,251.95,1,0.41,1.00,0.53,1,0.07,1,1,2.60
9,36,36.30,0,13.93,1,34.83,1,252.05,1,0.40,1.00,0.54,1,0.07,1,1,2.57
9,49,49.20,0,13.71,1,34.82,1,249.60,1,,9.00,,9,,9,9,0.00
9,51,51.50,0,13.49,1,34.87,1,251.00,1,0.45,1.00,0.64,1,0.12,1,1,3.02
9,51,51.60,0,13.49,1,34.87,1,251.18,1,,9.00,,9,,9,9,0.00
9,59,59.30,0,13.36,1,34.86,1,248.71,1,,9.00,,9,,9,9,0.00
9,61,61.60,0,12.42,1,34.88,1,251.82,1,0.58,1.00,1.06,1,0.26,1,1,4.62
9,61,61.60,0,12.45,1,34.89,1,251.57,1,0.57,1.00,1.11,1,0.27,1,1,4.79
9,71,71.10,0,11.81,1,34.88,1,252.30,1,0.64,1.00,1.41,1,0.43,1,1,5.54
9,79,79.20,0,11.94,1,34.88,1,249.46,1,,9.00,,9,,9,9,0.00
9,80,80.80,0,11.52,1,34.90,1,251.95,1,,9.00,,9,,9,9,0.00
9,99,99.50,0,11.21,1,34.88,1,249.07,1,,9.00,,9,,9,9,0.00
9,102,103.10,0,11.07,1,34.88,1,250.59,1,,9.00,,9,,9,9,0.00
9,103,103.80,0,11.06,1,34.88,1,250.54,1,0.70,1.00,1.98,1,0.12,1,1,7.63
9,148,149.00,0,10.75,1,34.88,1,246.67,1,,9.00,,9,,9,9,0.00
9,199,200.70,0,10.62,1,34.89,1,246.00,1,,9.00,,9,,9,9,0.00
9,201,202.70,0,10.48,1,34.87,1,247.48,1,0.82,1.00,2.76,1,0.01,1,1,9.84
